account_id,account_name,open_ticket_count,last_call_date,last_call_followup,usage_trend,next_checkin_date,memory_packet
A001,Acme Retail,1,2026-04-21,Investigate reporting data issue,declining,2026-05-11,"Acme Retail (Mid-Market, $42000 ACV, renews 2026-07-15). Health 72 (was 81). Usage trend: declining. Last call: Reporting workflow review - goal: Restore reporting adoption, blocker: Missing dashboard exports, follow-up: Investigate reporting data issue. 1 open ticket(s): Customer asks why dashboard exports are missing recent data. Next check-in 2026-05-11: Reporting recovery."
A002,BrightPath Logistics,1,2026-04-18,Escalate integration logs,flat,2026-05-12,"BrightPath Logistics (Enterprise, $128000 ACV, renews 2026-06-30). Health 61 (was 69). Usage trend: flat. Last call: Integration stability call - goal: Stabilize data sync, blocker: Repeated sync failures, follow-up: Escalate integration logs. 1 open ticket(s): Customer asks why integration sync has failed three times this week. Next check-in 2026-05-12: Integration stabilization."
A003,Cobalt Health,1,2026-04-25,Share rollout plan,growing,2026-05-06,"Cobalt Health (Enterprise, $210000 ACV, renews 2026-12-01). Health 88 (was 85). Usage trend: growing. Last call: Expansion discussion - goal: Roll platform out to analytics team, blocker: Need best-practice configuration, follow-up: Share rollout plan. 1 open ticket(s): Analytics team asks for best-practice setup for new department. Next check-in 2026-05-06: Analytics expansion planning."
A004,DeltaEd Services,1,,,declining,,"DeltaEd Services (SMB, $18000 ACV, renews 2026-08-20). Health 54 (was 73). Usage trend: declining. No prior call notes. 1 open ticket(s): New admin asks for onboarding materials after former champion left. No check-in scheduled."
A005,Evergreen Finance,1,2026-04-23,Prepare renewal value snapshot,declining,2026-05-05,"Evergreen Finance (Enterprise, $175000 ACV, renews 2026-05-28). Health 67 (was 76). Usage trend: declining. Last call: Renewal check-in - goal: Demonstrate measurable usage value, blocker: Sponsor wants concise ROI summary, follow-up: Prepare renewal value snapshot. 1 open ticket(s): Executive sponsor requests renewal usage summary by Friday. Next check-in 2026-05-05: Renewal value review."
A006,Futura Robotics,1,2026-04-22,Send premium automation options,growing,2026-05-06,"Futura Robotics (Mid-Market, $65000 ACV, renews 2026-09-30). Health 82 (was 77). Usage trend: growing. Last call: Automation review - goal: Assess premium automation use case, blocker: Budget approval needed, follow-up: Send premium automation options. 1 open ticket(s): Customer asks about premium automation feature limits. Next check-in 2026-05-06: Premium automation exploration."
A007,GreenLeaf Foods,0,,,flat,,"GreenLeaf Foods (SMB, $22000 ACV, renews 2026-11-15). Health 76 (was 78). Usage trend: flat. No prior call notes. No open tickets. No check-in scheduled."
A008,Harbor Insurance,1,2026-04-17,CSM to coordinate technical escalation,declining,2026-05-04,"Harbor Insurance (Enterprise, $240000 ACV, renews 2026-06-12). Health 48 (was 66). Usage trend: declining. Last call: Implementation progress review - goal: Resolve SSO and complete rollout, blocker: SSO blockers delaying launch, follow-up: CSM to coordinate technical escalation. 1 open ticket(s): Executive sponsor says implementation is blocked by SSO failures. Next check-in 2026-05-04: Implementation recovery."
A009,Indigo Studios,0,,,flat,,"Indigo Studios (SMB, $12000 ACV, renews 2026-10-02). Health 69 (was 70). Usage trend: flat. No prior call notes. No open tickets. No check-in scheduled."
A010,Juniper Manufacturing,1,2026-04-24,Investigate data freshness issue,declining,2026-05-07,"Juniper Manufacturing (Mid-Market, $74000 ACV, renews 2026-07-02). Health 58 (was 63). Usage trend: declining. Last call: Usage dashboard review - goal: Understand drop in reporting usage, blocker: Report exports not trusted, follow-up: Investigate data freshness issue. 1 open ticket(s): Power user wants help interpreting usage dashboard drop. Next check-in 2026-05-07: Usage dashboard recovery."
